instance,algorithm,movement_mode,scheme,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scpnre1,BPWO,PWO,S2-ELIT,2,10,300,300,30,29.0,0.0,True,0.03333333333333333,2446,24818,0.7668607090599835,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,V3-ELIT,0,10,300,300,40,29.0,0.0,True,0.03333333333333333,2590,24700,0.7539423750713468,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,V3-ELIT,1,10,300,300,36,29.0,0.0,True,0.03333333333333333,2597,24883,0.7430515829473734,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,V3-ELIT,2,10,300,300,57,29.0,0.0,True,0.03333333333333333,2646,24835,0.7519874996505678,3.13.15,2.5.1,calibration,large,optimum
scpnrg1,GREEDY,N/A,N/A,N/A,N/A,1,1,1,189.0,7.386363636363637,True,N/A,130,14,0.18713133316487074,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,S2-STD,0,10,300,300,7,292.0,65.9090909090909,True,1.0,0,811219,4.8919927082024515,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,S2-STD,1,10,300,300,10,299.0,69.88636363636364,True,1.0,0,810820,5.28286312520504,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,S2-STD,2,10,300,300,1,293.0,66.47727272727273,True,1.0,0,808206,5.326490707695484,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,V3-COMP,0,10,300,300,12,250.0,42.04545454545455,True,1.0,0,2048531,10.34648058284074,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,V3-COMP,1,10,300,300,13,258.0,46.59090909090909,True,1.0,0,2048707,9.63573145819828,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,V3-COMP,2,10,300,300,152,260.0,47.72727272727273,True,1.0,0,2047960,9.982211499940604,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,S2-ELIT,0,10,300,300,293,179.0,1.7045454545454546,True,0.03333333333333333,10683,50252,5.495675167068839,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,S2-ELIT,1,10,300,300,195,182.0,3.409090909090909,True,0.03333333333333333,10907,50251,5.5364161669276655,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,S2-ELIT,2,10,300,300,127,178.0,1.1363636363636365,True,0.03333333333333333,10968,50134,5.689332166686654,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,V3-ELIT,0,10,300,300,184,181.0,2.840909090909091,True,0.03333333333333333,11515,50654,5.800577875226736,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,V3-ELIT,1,10,300,300,280,181.0,2.840909090909091,True,0.03333333333333333,11864,50784,5.933064708020538,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,V3-ELIT,2,10,300,300,158,180.0,2.272727272727273,True,0.03333333333333333,11529,50066,6.010759665630758,3.13.15,2.5.1,calibration,very_large,best_known
