instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scpnrg1,1.5,BPWO,PWO,V3-ELIT,1,1.1363636363636365,178.0,0.0,94.57577158277854
scpnrg1,1.5,BGWO,REFERENCE,V3-ELIT,1,1.1363636363636365,178.0,0.0,99.87926787510514
scpnrg1,4.0,BPWO,PWO,S2-ELIT,1,2.272727272727273,180.0,0.0,92.34723708359525
scpnrg1,4.0,ABLATION_IID,IID,S2-ELIT,1,2.272727272727273,180.0,0.0,130.7875151252374
scpnrg1,4.0,BPSO,REFERENCE,V3-ELIT,1,2.272727272727273,180.0,0.0,199.49627908319235
scpnrg1,6.0,GREEDY,N/A,N/A,1,7.386363636363637,189.0,0.0,0.06751562468707561
