instance,role,scale,reference_type,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scpnrg1,unspecified,unspecified,unspecified,ABLATION_IID,IID,S2-ELIT,1,180.0,180.0,0.0,180.0,180.0,180.0,0.0,180.0,2.272727272727273,2.272727272727273,1.0,21.12719758413732,90.0,64.821,57.104
scpnrg1,unspecified,unspecified,unspecified,BGWO,REFERENCE,V3-ELIT,1,178.0,178.0,0.0,178.0,178.0,178.0,0.0,178.0,1.1363636363636365,1.1363636363636365,1.0,16.273044500034302,994.0,39.801,53.62
scpnrg1,unspecified,unspecified,unspecified,BPSO,REFERENCE,V3-ELIT,1,182.0,182.0,0.0,182.0,182.0,182.0,0.0,182.0,3.409090909090909,3.409090909090909,1.0,31.805168165825307,291.0,107.01,62.038
scpnrg1,unspecified,unspecified,unspecified,BPWO,PWO,S2-ELIT,1,180.0,180.0,0.0,180.0,180.0,180.0,0.0,180.0,2.272727272727273,2.272727272727273,1.0,16.443548125214875,88.0,33.709,52.381
scpnrg1,unspecified,unspecified,unspecified,GREEDY,N/A,N/A,1,189.0,189.0,0.0,189.0,189.0,189.0,0.0,189.0,7.386363636363637,7.386363636363637,1.0,0.07056716689839959,1.0,130.0,14.0
