instance,algorithm,movement_mode,scheme,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scpnre1,BPWO,PWO,V3-ELIT,0,10,300,300,40,29.0,0.0,True,0.03333333333333333,2590,24700,0.8008561669848859,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,V3-ELIT,1,10,300,300,36,29.0,0.0,True,0.03333333333333333,2597,24883,0.7885949998162687,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,V3-ELIT,2,10,300,300,57,29.0,0.0,True,0.03333333333333333,2646,24835,0.8762702909298241,3.13.15,2.5.1,calibration,large,optimum
scpnre1,ABLATION_IID,IID,V3-ELIT,0,10,300,300,34,29.0,0.0,True,0.03333333333333333,5252,24810,1.5193972080014646,3.13.15,2.5.1,calibration,large,optimum
scpnre1,ABLATION_IID,IID,V3-ELIT,1,10,300,300,31,29.0,0.0,True,0.03333333333333333,5244,24984,1.3651579157449305,3.13.15,2.5.1,calibration,large,optimum
scpnre1,ABLATION_IID,IID,V3-ELIT,2,10,300,300,28,29.0,0.0,True,0.03333333333333333,5327,24969,1.390078500378877,3.13.15,2.5.1,calibration,large,optimum
scpnre1,NBPWO,BINARY,NATIVE,0,10,300,300,57,29.0,0.0,True,0.47,384,24953,0.5080495839938521,3.13.15,2.5.1,calibration,large,optimum
scpnre1,NBPWO,BINARY,NATIVE,1,10,300,300,80,29.0,0.0,True,0.44,371,25226,0.46223375014960766,3.13.15,2.5.1,calibration,large,optimum
scpnre1,NBPWO,BINARY,NATIVE,2,10,300,300,51,29.0,0.0,True,0.48333333333333334,357,24820,0.5515630003064871,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPSO,REFERENCE,V3-ELIT,0,10,300,300,29,29.0,0.0,True,0.03333333333333333,7126,25023,2.4375389590859413,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPSO,REFERENCE,V3-ELIT,1,10,300,300,23,29.0,0.0,True,0.03333333333333333,7361,25333,2.5312224170193076,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPSO,REFERENCE,V3-ELIT,2,10,300,300,22,29.0,0.0,True,0.03333333333333333,7221,24914,2.474904458038509,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BGWO,REFERENCE,V3-ELIT,0,10,300,300,44,29.0,0.0,True,0.03333333333333333,2872,24880,0.9234220418147743,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BGWO,REFERENCE,V3-ELIT,1,10,300,300,47,29.0,0.0,True,0.03333333333333333,2798,25127,0.9098132499493659,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BGWO,REFERENCE,V3-ELIT,2,10,300,300,25,29.0,0.0,True,0.03333333333333333,2808,24728,0.8344262079335749,3.13.15,2.5.1,calibration,large,optimum
scpnrg1,GREEDY,N/A,N/A,N/A,N/A,1,1,1,189.0,7.386363636363637,True,N/A,130,14,0.19239283306524158,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,V3-ELIT,0,10,300,300,184,181.0,2.840909090909091,True,0.03333333333333333,11515,50654,5.205181125085801,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,V3-ELIT,1,10,300,300,280,181.0,2.840909090909091,True,0.03333333333333333,11864,50784,5.286661041900516,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO,PWO,V3-ELIT,2,10,300,300,158,180.0,2.272727272727273,True,0.03333333333333333,11529,50066,5.402253750246018,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,ABLATION_IID,IID,V3-ELIT,0,10,300,300,137,181.0,2.840909090909091,True,0.03333333333333333,22107,51554,15.30465658288449,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,ABLATION_IID,IID,V3-ELIT,1,10,300,300,255,180.0,2.272727272727273,True,0.03333333333333333,22376,51794,15.910897499881685,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,ABLATION_IID,IID,V3-ELIT,2,10,300,300,119,179.0,1.7045454545454546,True,0.03333333333333333,22174,51354,16.087971000000834,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,NBPWO,BINARY,NATIVE,0,10,300,300,211,184.0,4.545454545454546,True,0.4266666666666667,1218,49813,2.339288374874741,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,NBPWO,BINARY,NATIVE,1,10,300,300,116,181.0,2.840909090909091,True,0.47,1324,50188,2.0108197079971433,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,NBPWO,BINARY,NATIVE,2,10,300,300,63,194.0,10.227272727272727,True,0.45,1075,49607,1.9717719578184187,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPSO,REFERENCE,V3-ELIT,0,10,300,300,72,182.0,3.409090909090909,True,0.03333333333333333,30539,52642,33.76689195865765,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPSO,REFERENCE,V3-ELIT,1,10,300,300,60,181.0,2.840909090909091,True,0.03333333333333333,30845,52773,37.867581124883145,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPSO,REFERENCE,V3-ELIT,2,10,300,300,243,180.0,2.272727272727273,True,0.03333333333333333,30426,52283,35.519931790884584,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BGWO,REFERENCE,V3-ELIT,0,10,300,300,253,180.0,2.272727272727273,True,0.03333333333333333,12629,50585,7.721282915677875,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BGWO,REFERENCE,V3-ELIT,1,10,300,300,190,180.0,2.272727272727273,True,0.03333333333333333,12607,50649,6.67626874987036,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BGWO,REFERENCE,V3-ELIT,2,10,300,300,231,182.0,3.409090909090909,True,0.03333333333333333,12283,50493,6.566890124697238,3.13.15,2.5.1,calibration,very_large,best_known
