instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scpnrg1,1.0,BGWO,REFERENCE,V3-ELIT,1,1.1363636363636365,178.0,0.0,16.273044500034302
scpnrg1,2.5,BPWO,PWO,S2-ELIT,1,2.272727272727273,180.0,0.0,16.443548125214875
scpnrg1,2.5,ABLATION_IID,IID,S2-ELIT,1,2.272727272727273,180.0,0.0,21.12719758413732
scpnrg1,4.0,BPSO,REFERENCE,V3-ELIT,1,3.409090909090909,182.0,0.0,31.805168165825307
scpnrg1,5.0,GREEDY,N/A,N/A,1,7.386363636363637,189.0,0.0,0.07056716689839959
