instance,algorithm,movement_mode,scheme,selection_mode,state_update_mode,degenerate_cohesion,latent_amplitude,repair_feedback,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,acceptance_rate,binary_state_change_rate,global_improvements,runtime_seconds,python,numpy,role,scale,reference_type
scp53,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,3,10,6000,6000,1241,233.0,3.0973451327433628,True,0.7788333333333334,2098,97442,1.0,0.21318864774624374,29,6.596427625001525,3.13.15,2.5.1,development,small,optimum
scp53,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,4,10,6000,6000,3231,231.0,2.2123893805309733,True,0.7761666666666667,2170,97705,1.0,0.22470784641068448,28,6.474919583000883,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,6000,6000,72,230.0,1.7699115044247788,True,0.968,574,13581,1.0,0.014190317195325543,12,5.526268667003023,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,6000,6000,124,235.0,3.982300884955752,True,0.9631666666666666,635,13876,1.0,0.02053422370617696,11,5.395741457999975,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,6000,6000,80,239.0,5.752212389380531,True,0.9265,922,13969,1.0,0.05843071786310518,13,5.452066375000868,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,3,10,6000,6000,120,232.0,2.6548672566371683,True,0.9598333333333333,674,13923,1.0,0.020701168614357262,18,5.610109332999855,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,4,10,6000,6000,91,234.0,3.5398230088495577,True,0.9605,749,13863,1.0,0.019365609348914858,16,5.618299999994633,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,6000,6000,72,230.0,1.7699115044247788,True,0.9658333333333333,596,13602,0.9988313856427379,0.012020033388981636,13,5.60043250000308,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,6000,6000,164,234.0,3.5398230088495577,True,0.9608333333333333,653,13876,0.9944908180300501,0.01702838063439065,13,5.51347258300666,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,6000,6000,80,239.0,5.752212389380531,True,0.9631666666666666,679,13837,0.9984974958263773,0.014023372287145243,13,5.524887333995139,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,3,10,6000,6000,98,243.0,7.522123893805309,True,0.9575,706,13958,0.9938230383973289,0.019031719532554257,16,5.454530916002113,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,4,10,6000,6000,122,233.0,3.0973451327433628,True,0.9618333333333333,758,13819,0.9968280467445743,0.016193656093489148,18,5.365820749997511,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,6000,6000,1901,151.0,4.137931034482759,True,0.8438333333333333,1239,48040,1.0,0.17612687813021702,16,3.0684948330017505,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,6000,6000,2674,160.0,10.344827586206897,True,0.8665,1148,48462,1.0,0.1968280467445743,23,3.022797833997174,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,6000,6000,1194,156.0,7.586206896551724,True,0.856,1175,47959,1.0,0.18580968280467447,16,2.997284249999211,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,3,10,6000,6000,1767,155.0,6.896551724137931,True,0.8505,1216,47882,1.0,0.18647746243739566,21,3.2410059590038145,3.13.15,2.5.1,development,small,optimum
