instance,algorithm,movement_mode,scheme,rally_mode,binarization_input,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp63,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,351,148.0,2.0689655172413794,True,0.0016666666666666668,78208,13739,5.597173667047173,3.13.15,2.5.1,development,small,optimum
scp63,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,876,148.0,2.0689655172413794,True,0.0016666666666666668,76392,11760,5.583963875193149,3.13.15,2.5.1,development,small,optimum
scpa3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,0,10,6000,6000,4471,235.0,1.293103448275862,True,0.0016666666666666668,156867,38562,18.635365792084485,3.13.15,2.5.1,development,medium,optimum
scpa3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,1,10,6000,6000,5983,235.0,1.293103448275862,True,0.0016666666666666668,159071,38934,18.503765957895666,3.13.15,2.5.1,development,medium,optimum
scpa3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,2,10,6000,6000,608,235.0,1.293103448275862,True,0.0016666666666666668,152784,38496,18.38676487468183,3.13.15,2.5.1,development,medium,optimum
scpa3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,3,10,6000,6000,3754,235.0,1.293103448275862,True,0.0016666666666666668,155180,38325,18.254956333898008,3.13.15,2.5.1,development,medium,optimum
scpa3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,4,10,6000,6000,782,237.0,2.1551724137931036,True,0.0016666666666666668,154696,34460,16.493780582677573,3.13.15,2.5.1,development,medium,optimum
scpa3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,0,10,6000,6000,1013,239.0,3.0172413793103448,True,0.0016666666666666668,157218,38290,17.53986345883459,3.13.15,2.5.1,development,medium,optimum
scpa3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,1,10,6000,6000,5179,240.0,3.4482758620689653,True,0.0016666666666666668,160265,40033,17.591266207862645,3.13.15,2.5.1,development,medium,optimum
scpa3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,2,10,6000,6000,994,239.0,3.0172413793103448,True,0.0016666666666666668,158056,38626,17.72070337506011,3.13.15,2.5.1,development,medium,optimum
scpa3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,4591,235.0,1.293103448275862,True,0.0016666666666666668,155785,38116,17.497964582871646,3.13.15,2.5.1,development,medium,optimum
scpa3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,5085,235.0,1.293103448275862,True,0.0016666666666666668,157959,39094,22.66926229186356,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,0,10,6000,6000,62,81.0,1.25,True,0.0016666666666666668,82013,19106,14.918887209147215,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,1,10,6000,6000,41,81.0,1.25,True,0.0016666666666666668,81955,19216,15.123724916949868,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,2,10,6000,6000,276,81.0,1.25,True,0.0016666666666666668,82029,19305,15.430612083990127,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,3,10,6000,6000,38,81.0,1.25,True,0.0016666666666666668,82214,19297,20.35299945808947,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,4,10,6000,6000,149,81.0,1.25,True,0.0016666666666666668,81479,19198,20.23916954221204,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,0,10,6000,6000,47,81.0,1.25,True,0.0016666666666666668,81434,19101,19.813348333351314,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,1,10,6000,6000,144,81.0,1.25,True,0.0016666666666666668,81852,19202,19.963733750395477,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,2,10,6000,6000,179,81.0,1.25,True,0.0016666666666666668,82067,19390,19.968465499579906,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,606,81.0,1.25,True,0.0016666666666666668,82556,19652,19.164942082948983,3.13.15,2.5.1,development,medium,optimum
scpb3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,32,81.0,1.25,True,0.0016666666666666668,81791,19220,19.098259958904237,3.13.15,2.5.1,development,medium,optimum
scpc3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,0,10,6000,6000,386,244.0,0.411522633744856,True,0.0016666666666666668,163780,34492,34.099244208075106,3.13.15,2.5.1,development,large,optimum
scpc3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,1,10,6000,6000,66,247.0,1.646090534979424,True,0.0016666666666666668,164961,35948,33.819467375054955,3.13.15,2.5.1,development,large,optimum
scpc3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,2,10,6000,6000,3842,248.0,2.05761316872428,True,0.0016666666666666668,169742,37089,32.17738024983555,3.13.15,2.5.1,development,large,optimum
scpc3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,3,10,6000,6000,1509,247.0,1.646090534979424,True,0.0016666666666666668,168776,39482,32.42533795768395,3.13.15,2.5.1,development,large,optimum
scpc3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,4,10,6000,6000,223,245.0,0.823045267489712,True,0.0016666666666666668,162856,34522,32.39490370871499,3.13.15,2.5.1,development,large,optimum
scpc3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,0,10,6000,6000,692,245.0,0.823045267489712,True,0.0016666666666666668,163601,34793,32.3505937079899,3.13.15,2.5.1,development,large,optimum
scpc3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,1,10,6000,6000,647,244.0,0.411522633744856,True,0.0016666666666666668,165784,38021,32.360173208173364,3.13.15,2.5.1,development,large,optimum
scpc3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,2,10,6000,6000,901,247.0,1.646090534979424,True,0.0016666666666666668,166945,39366,32.65208320785314,3.13.15,2.5.1,development,large,optimum
scpc3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,4736,244.0,0.411522633744856,True,0.0016666666666666668,167247,38877,32.670391499996185,3.13.15,2.5.1,development,large,optimum
scpc3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,963,246.0,1.2345679012345678,True,0.0016666666666666668,168731,40765,29.032018250320107,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,0,10,6000,6000,317,72.0,0.0,True,0.0016666666666666668,95436,30957,31.069652332924306,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,1,10,6000,6000,144,74.0,2.7777777777777777,True,0.0016666666666666668,96603,34637,26.65362204099074,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,2,10,6000,6000,55,73.0,1.3888888888888888,True,0.0016666666666666668,92687,31113,26.37811979232356,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,3,10,6000,6000,126,74.0,2.7777777777777777,True,0.0016666666666666668,98180,36511,34.027629958000034,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,4,10,6000,6000,4662,73.0,1.3888888888888888,True,0.0016666666666666668,96264,32852,33.88143937475979,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,0,10,6000,6000,53,74.0,2.7777777777777777,True,0.0016666666666666668,98730,36439,26.148764084093273,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,1,10,6000,6000,66,74.0,2.7777777777777777,True,0.0016666666666666668,95405,32501,33.67139733256772,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,2,10,6000,6000,965,74.0,2.7777777777777777,True,0.0016666666666666668,95375,32721,33.578017125371844,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,3704,73.0,1.3888888888888888,True,0.0016666666666666668,93556,30567,34.26068245898932,3.13.15,2.5.1,development,large,optimum
scpd3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,176,75.0,4.166666666666667,True,0.0016666666666666668,97048,32077,34.381010374985635,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,0,10,6000,6000,41,28.0,3.7037037037037037,True,0.0018333333333333333,47553,25518,46.949921291321516,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,1,10,6000,6000,151,27.0,0.0,True,0.0018333333333333333,48252,25816,47.48745866725221,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,2,10,6000,6000,51,28.0,3.7037037037037037,True,0.0018333333333333333,48490,25837,46.92458229186013,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,3,10,6000,6000,46,28.0,3.7037037037037037,True,0.002,47188,25557,47.252674375195056,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,4,10,6000,6000,658,28.0,3.7037037037037037,True,0.0018333333333333333,47190,25376,48.003749874886125,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,0,10,6000,6000,67,28.0,3.7037037037037037,True,0.002,50688,27089,48.37659841682762,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,1,10,6000,6000,186,28.0,3.7037037037037037,True,0.0018333333333333333,51110,27717,48.60658804094419,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,2,10,6000,6000,21,28.0,3.7037037037037037,True,0.002,47247,25505,48.7932324167341,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,105,28.0,3.7037037037037037,True,0.002,47171,25549,48.81724129058421,3.13.15,2.5.1,development,large,optimum
scpnre3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,517,27.0,0.0,True,0.0018333333333333333,48146,25584,48.21373379090801,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,0,10,6000,6000,88,14.0,0.0,True,0.009833333333333333,28074,25824,45.991206916980445,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,1,10,6000,6000,19,14.0,0.0,True,0.012166666666666666,27966,25953,45.63466650014743,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,2,10,6000,6000,270,14.0,0.0,True,0.011666666666666667,27953,25887,45.763836917001754,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,3,10,6000,6000,2384,14.0,0.0,True,0.008666666666666666,28268,25888,45.94041858287528,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,4,10,6000,6000,16,15.0,7.142857142857143,True,0.008,28193,25111,46.007939459290355,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,0,10,6000,6000,969,14.0,0.0,True,0.009833333333333333,27961,25694,46.017322917003185,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,1,10,6000,6000,25,14.0,0.0,True,0.0105,28182,26010,45.9582543335855,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,2,10,6000,6000,706,14.0,0.0,True,0.011666666666666667,27871,25849,46.04057083372027,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,1155,14.0,0.0,True,0.009166666666666667,27925,26005,38.84912812523544,3.13.15,2.5.1,development,large,optimum
scpnrf3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,4615,14.0,0.0,True,0.008666666666666666,28443,25462,37.23589958297089,3.13.15,2.5.1,development,large,optimum
scpnrg3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,0,10,6000,6000,1216,168.0,1.2048192771084338,True,0.0016666666666666668,229930,76939,143.88341162493452,3.13.15,2.5.1,development,very_large,best_known
scpnrg3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,1,10,6000,6000,2304,173.0,4.216867469879518,True,0.0016666666666666668,244890,78074,142.42948362464085,3.13.15,2.5.1,development,very_large,best_known
scpnrg3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,2,10,6000,6000,3685,168.0,1.2048192771084338,True,0.0016666666666666668,230884,75362,128.47355720913038,3.13.15,2.5.1,development,very_large,best_known
scpnrg3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,3,10,6000,6000,4126,171.0,3.0120481927710845,True,0.0016666666666666668,230682,71807,127.9023176250048,3.13.15,2.5.1,development,very_large,best_known
