instance,algorithm,movement_mode,scheme,selection_mode,state_update_mode,degenerate_cohesion,latent_amplitude,repair_feedback,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,acceptance_rate,binary_state_change_rate,global_improvements,runtime_seconds,python,numpy,role,scale,reference_type
scp53,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,300,300,192,235.0,3.982300884955752,True,0.85,343,9819,0.993103448275862,0.18620689655172415,12,0.560301375000563,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,300,300,62,244.0,7.964601769911504,True,0.8133333333333334,377,10022,0.9793103448275862,0.19310344827586207,7,0.5041966249991674,3.13.15,2.5.1,development,small,optimum
scp53,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,300,300,70,252.0,11.504424778761061,True,0.8033333333333333,425,10021,0.9758620689655172,0.19655172413793104,12,0.5019415420028963,3.13.15,2.5.1,development,small,optimum
scp53,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,198,236.0,4.424778761061947,True,0.61,922,10928,1.0,0.35517241379310344,16,0.5404930000004242,3.13.15,2.5.1,development,small,optimum
scp53,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,254,248.0,9.734513274336283,True,0.63,937,11076,1.0,0.3724137931034483,14,0.5230583340016892,3.13.15,2.5.1,development,small,optimum
scp53,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,256,251.0,11.061946902654867,True,0.6066666666666667,918,11410,1.0,0.3724137931034483,12,0.5228215409952099,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,78,155.0,6.896551724137931,True,0.88,48,6494,1.0,0.2689655172413793,9,0.2713009169965517,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,135,184.0,26.896551724137932,True,0.8366666666666667,77,6514,1.0,0.42758620689655175,12,0.26522395799838705,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,198,198.0,36.55172413793103,True,0.8666666666666667,63,6522,1.0,0.4103448275862069,10,0.2298337089960114,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,82,150.0,3.4482758620689653,True,0.7666666666666667,285,4958,1.0,0.2793103448275862,11,0.2858344160049455,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,80,157.0,8.275862068965518,True,0.8,266,4945,1.0,0.2482758620689655,9,0.25254833399958443,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,300,300,42,168.0,15.862068965517242,True,0.86,244,4974,1.0,0.18620689655172415,8,0.28625862499757204,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,300,300,71,153.0,5.517241379310345,True,0.7566666666666667,292,4955,0.9482758620689655,0.2103448275862069,9,0.29948795800009975,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,300,300,57,160.0,10.344827586206897,True,0.82,267,4929,0.9758620689655172,0.1896551724137931,7,0.2783469159985543,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,300,300,61,160.0,10.344827586206897,True,0.7966666666666666,300,5028,0.9482758620689655,0.18620689655172415,10,0.2647737090010196,3.13.15,2.5.1,development,small,optimum
scp63,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,105,156.0,7.586206896551724,True,0.7133333333333334,456,5445,1.0,0.31724137931034485,8,0.29495333299564663,3.13.15,2.5.1,development,small,optimum
scp63,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,82,153.0,5.517241379310345,True,0.71,432,5403,1.0,0.29310344827586204,8,0.3020490420021815,3.13.15,2.5.1,development,small,optimum
scp63,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,104,164.0,13.10344827586207,True,0.7366666666666667,347,5275,1.0,0.25862068965517243,9,0.23868616700201528,3.13.15,2.5.1,development,small,optimum
scpa3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,176,289.0,24.56896551724138,True,0.74,143,20322,1.0,0.4896551724137931,17,1.0506586670016986,3.13.15,2.5.1,development,medium,optimum
scpa3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,269,325.0,40.08620689655172,True,0.7866666666666666,91,20418,1.0,0.5448275862068965,19,1.1433647500016377,3.13.15,2.5.1,development,medium,optimum
scpa3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,232,309.0,33.189655172413794,True,0.7933333333333333,94,20533,1.0,0.5413793103448276,19,1.164824416002375,3.13.15,2.5.1,development,medium,optimum
scpa3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,88,255.0,9.913793103448276,True,0.74,618,15139,1.0,0.2655172413793103,6,1.0232442089982214,3.13.15,2.5.1,development,medium,optimum
scpa3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,58,256.0,10.344827586206897,True,0.8133333333333334,581,15175,1.0,0.2206896551724138,6,1.0263122909964295,3.13.15,2.5.1,development,medium,optimum
scpa3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,300,300,106,248.0,6.896551724137931,True,0.6966666666666667,589,15289,1.0,0.33793103448275863,14,1.007368291997409,3.13.15,2.5.1,development,medium,optimum
scpa3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,300,300,67,251.0,8.189655172413794,True,0.82,564,15084,0.9793103448275862,0.1896551724137931,9,0.9379708339984063,3.13.15,2.5.1,development,medium,optimum
scpa3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,300,300,53,254.0,9.482758620689655,True,0.8333333333333334,560,15141,0.9655172413793104,0.15862068965517243,6,1.015061792000779,3.13.15,2.5.1,development,medium,optimum
scpa3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,300,300,78,253.0,9.051724137931034,True,0.78,515,15224,0.9620689655172414,0.2103448275862069,11,1.0385699580001528,3.13.15,2.5.1,development,medium,optimum
scpa3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,143,287.0,23.70689655172414,True,0.7566666666666667,655,15417,1.0,0.3,8,0.9605971249984577,3.13.15,2.5.1,development,medium,optimum
scpa3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,109,260.0,12.068965517241379,True,0.7,1106,16662,1.0,0.3310344827586207,6,1.0030454169973382,3.13.15,2.5.1,development,medium,optimum
scpa3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,151,263.0,13.362068965517242,True,0.62,969,16798,1.0,0.3448275862068966,9,0.9625674999988405,3.13.15,2.5.1,development,medium,optimum
scpb3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,156,106.0,32.5,True,0.9366666666666666,25,20718,1.0,0.4068965517241379,7,1.1192342919966904,3.13.15,2.5.1,development,medium,optimum
scpb3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,170,96.0,20.0,True,0.9266666666666666,27,20820,1.0,0.5206896551724138,15,0.8663065829969128,3.13.15,2.5.1,development,medium,optimum
scpb3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,149,90.0,12.5,True,0.9266666666666666,30,20883,1.0,0.4103448275862069,9,0.8890331250004238,3.13.15,2.5.1,development,medium,optimum
scpb3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,62,82.0,2.5,True,0.73,350,15206,1.0,0.2896551724137931,9,0.923924791997706,3.13.15,2.5.1,development,medium,optimum
scpb3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,33,91.0,13.75,True,0.9033333333333333,204,15113,1.0,0.12758620689655173,5,0.9507185419934103,3.13.15,2.5.1,development,medium,optimum
scpb3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,300,300,52,85.0,6.25,True,0.8366666666666667,239,15249,1.0,0.18620689655172415,7,0.9066246250004042,3.13.15,2.5.1,development,medium,optimum
scpb3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,300,300,72,85.0,6.25,True,0.7633333333333333,351,15183,0.9379310344827586,0.1896551724137931,11,1.0283952500030864,3.13.15,2.5.1,development,medium,optimum
scpb3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,300,300,105,88.0,10.0,True,0.8566666666666667,255,15195,0.9724137931034482,0.16896551724137931,8,1.4624834589994862,3.13.15,2.5.1,development,medium,optimum
scpb3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,300,300,78,87.0,8.75,True,0.79,308,15346,0.9448275862068966,0.1896551724137931,8,1.4642269589967327,3.13.15,2.5.1,development,medium,optimum
scpb3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,84,93.0,16.25,True,0.7933333333333333,347,15307,1.0,0.20689655172413793,7,0.9219564160011942,3.13.15,2.5.1,development,medium,optimum
scpb3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,267,85.0,6.25,True,0.75,396,15482,1.0,0.296551724137931,8,0.7473528330010595,3.13.15,2.5.1,development,medium,optimum
scpb3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,190,86.0,7.5,True,0.78,362,15514,1.0,0.2655172413793103,6,0.677143792003335,3.13.15,2.5.1,development,medium,optimum
