instance,algorithm,movement_mode,scheme,degenerate_cohesion,latent_amplitude,bound,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,0,10,6000,6000,1424,168.0,21.73913043478261,True,1.0,0,3905918,12.195422415999928,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,1,10,6000,6000,5614,169.0,22.463768115942027,True,1.0,0,3903505,12.153385209006956,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,2,10,6000,6000,4384,169.0,22.463768115942027,True,1.0,0,3900617,11.999176707991865,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,3,10,6000,6000,2075,173.0,25.36231884057971,True,1.0,0,3902620,12.434464084013598,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,4,10,6000,6000,873,172.0,24.63768115942029,True,1.0,0,3901289,12.612954917014576,3.14.0,2.5.2,calibration,small,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,0,10,6000,6000,2431,358.0,41.50197628458498,True,1.0,0,4591515,22.837365959014278,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,1,10,6000,6000,3693,372.0,47.03557312252964,True,1.0,0,4590469,22.516465291002532,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,2,10,6000,6000,153,404.0,59.683794466403164,True,1.0,0,4581695,22.948978875007015,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,3,10,6000,6000,4917,395.0,56.126482213438734,True,1.0,0,4586831,22.462340416997904,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,4,10,6000,6000,352,390.0,54.1501976284585,True,1.0,0,4583815,23.20205729198642,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,0,10,6000,6000,195,354.0,39.92094861660079,True,1.0,0,12039671,40.81107966697891,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,1,10,6000,6000,4260,366.0,44.66403162055336,True,1.0,0,12039975,40.812542707979446,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,2,10,6000,6000,3429,363.0,43.47826086956522,True,1.0,0,12038244,41.41386537498329,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,3,10,6000,6000,5156,356.0,40.71146245059288,True,1.0,0,12039634,40.67662966702483,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,4,10,6000,6000,1892,361.0,42.687747035573125,True,1.0,0,12041272,41.52032937499462,3.14.0,2.5.2,calibration,medium,optimum
scpb1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,0,10,6000,6000,3163,90.0,30.434782608695652,True,1.0,0,4703249,23.47137262497563,3.14.0,2.5.2,calibration,medium,optimum
scpb1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,1,10,6000,6000,5433,88.0,27.536231884057973,True,1.0,0,4701199,23.53189920799923,3.14.0,2.5.2,calibration,medium,optimum
scpb1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,2,10,6000,6000,4849,85.0,23.18840579710145,True,1.0,0,4697732,23.439479249995202,3.14.0,2.5.2,calibration,medium,optimum
scpb1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,3,10,6000,6000,2924,90.0,30.434782608695652,True,1.0,0,4698910,24.309070624993183,3.14.0,2.5.2,calibration,medium,optimum
scpb1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,4,10,6000,6000,3457,90.0,30.434782608695652,True,1.0,0,4694824,24.607941583002685,3.14.0,2.5.2,calibration,medium,optimum
scpb1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,0,10,6000,6000,5912,92.0,33.333333333333336,True,1.0,0,12347639,42.347793124994496,3.14.0,2.5.2,calibration,medium,optimum
scpb1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,1,10,6000,6000,685,94.0,36.231884057971016,True,1.0,0,12344897,42.54069862500182,3.14.0,2.5.2,calibration,medium,optimum
scpb1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,2,10,6000,6000,439,92.0,33.333333333333336,True,1.0,0,12343852,42.94814504098031,3.14.0,2.5.2,calibration,medium,optimum
