instance,algorithm,movement_mode,scheme,degenerate_cohesion,latent_amplitude,bound,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp61,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,200,141.0,2.1739130434782608,True,0.002,200383,44676,13.489367917180061,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,307,141.0,2.1739130434782608,True,0.002,201667,45088,13.666617708746344,3.13.15,2.5.1,calibration,small,optimum
scpa1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,473,254.0,0.3952569169960474,True,0.948,2919,60274,41.71205454180017,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,395,256.0,1.1857707509881423,True,0.9507333333333333,2832,59856,43.87959000002593,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,273,254.0,0.3952569169960474,True,0.9554666666666667,2482,60253,43.05269950022921,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,3,30,15000,15000,274,260.0,2.766798418972332,True,0.9544,2628,59967,44.35464662499726,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,4,30,15000,15000,457,258.0,1.976284584980237,True,0.9531333333333334,2521,59524,43.86009570769966,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,0,30,15000,15000,151,257.0,1.5810276679841897,True,0.002,389755,114846,51.866698124911636,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,1,30,15000,15000,147,256.0,1.1857707509881423,True,0.002,391600,115834,53.464904834050685,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,2,30,15000,15000,121,256.0,1.1857707509881423,True,0.002,389962,115640,53.88672108296305,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,176,257.0,1.5810276679841897,True,0.002,389312,111571,53.77050125040114,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,188,257.0,1.5810276679841897,True,0.002,389395,113192,56.545276291668415,3.13.15,2.5.1,calibration,medium,optimum
